lineages_l,number_genomes_per_lineage
BN.1.1,26
BN.1.1.1,6
BN.1.10,11
BN.1.2,355
BN.1.2.1,370
BN.1.2.2,35
BN.1.2.3,34
BN.1.2.4,13
BN.1.2.5,3
BN.1.2.6,1
BN.1.3,486
BN.1.3.1,680
BN.1.3.12,23
BN.1.3.4,6
BN.1.3.5,3
BN.1.3.6,30
BN.1.3.7,9
BN.1.3.8,2
BN.1.3.9,2
BN.1.4,169
BN.1.4.1,106
BN.1.4.3,12
BN.1.4.5,18
BN.1.5,1202
BN.1.5.2,4
BN.1.6,1
BN.1.7,478
BN.1.8,5
BN.1.9,23
BN.2.1,2
BN.3,3
BN.3.1,89
BN.4,4
BN.5,14
BN.6,47
BQ.1,3280
BQ.1.1,12679
BQ.1.1.1,914
BQ.1.1.10,231
BQ.1.1.11,41
BQ.1.1.12,3
BQ.1.1.13,87
BQ.1.1.14,48
BQ.1.1.15,382
BQ.1.1.16,54
BQ.1.1.17,12
BQ.1.1.18,555
BQ.1.1.19,362
BQ.1.1.2,1486
BQ.1.1.20,24
BQ.1.1.21,12
BQ.1.1.22,635
BQ.1.1.23,298
BQ.1.1.24,804
BQ.1.1.25,1
BQ.1.1.26,21
BQ.1.1.27,62
BQ.1.1.28,212
BQ.1.1.29,120
BQ.1.1.3,454
BQ.1.1.30,3
BQ.1.1.31,288
BQ.1.1.32,153
BQ.1.1.34,52
BQ.1.1.35,152
BQ.1.1.36,102
BQ.1.1.37,11
BQ.1.1.38,3
BQ.1.1.39,32
BQ.1.1.4,643
BQ.1.1.40,8
BQ.1.1.41,31
BQ.1.1.42,98
BQ.1.1.43,35
BQ.1.1.44,9
BQ.1.1.45,166
BQ.1.1.46,43
BQ.1.1.47,68
BQ.1.1.49,2
BQ.1.1.5,340
BQ.1.1.51,17
BQ.1.1.52,39
BQ.1.1.53,7
BQ.1.1.54,1
BQ.1.1.56,121
BQ.1.1.57,164
BQ.1.1.58,93
BQ.1.1.59,3
BQ.1.1.6,704
BQ.1.1.60,2
BQ.1.1.62,21
BQ.1.1.63,9
BQ.1.1.64,4
BQ.1.1.65,2
BQ.1.1.66,139
BQ.1.1.67,119
BQ.1.1.68,32
BQ.1.1.69,453
