lineage,group
HK.3.2,HK.3.2
HK.6,HK.6
HV.1,HV.1
HZ.2,HZ.2
JD.1.1,JD.1.1
JD.1.1.1,JD.1.1.1
JD.1.2,JD.1.2/JG.3/XBB.1.5.70
JD.2,JD.2/XBB.1.5.102
JK.1,JK.1
JM.2,JM.2
JN.1,JN.1
JN.3,JN.3
N.10,N.10
N.9,N.9
NONE,NONE
P.1,P.1/P.1.14
P.2,P.2
XBB,XBB
XBB.1,XBB.1
XBB.1.14,XBB.1.14
XBB.1.15,XBB.1.15
XBB.1.16.1,XBB.1.16.1
XBB.1.16.11,XBB.1.16.11
XBB.1.16.15,XBB.1.16.15
XBB.1.16.6,XBB.1.16.6
XBB.1.17.1,XBB.1.17.1
XBB.1.18,XBB.1.18
XBB.1.37,XBB.1.37
XBB.1.4,XBB.1.4
XBB.1.41.1,XBB.1.41.1
XBB.1.44,XBB.1.44
XBB.1.5.1,XBB.1.5.1/XBB.1.5.20/XBB.1.5.7
XBB.1.5.10,XBB.1.5.10
XBB.1.5.103,XBB.1.5.103
XBB.1.5.104,XBB.1.5.104
XBB.1.5.11,XBB.1.5.11
XBB.1.5.14,XBB.1.5.14
XBB.1.5.17,XBB.1.5.17
XBB.1.5.18,XBB.1.5.18/XBB.1.5.48
XBB.1.5.19,XBB.1.5.19
XBB.1.5.2,XBB.1.5.2/XBB.1.5.73
XBB.1.5.24,XBB.1.5.24
XBB.1.5.26,XBB.1.5.26
XBB.1.5.28,XBB.1.5.28/XBB.1.5.40
XBB.1.5.3,XBB.1.5.3
XBB.1.5.31,XBB.1.5.31
XBB.1.5.36,XBB.1.5.36
XBB.1.5.4,XBB.1.5.4
XBB.1.5.47,XBB.1.5.47
XBB.1.5.5,XBB.1.5.5
XBB.1.5.51,XBB.1.5.51
XBB.1.5.57,XBB.1.5.57
XBB.1.5.62,XBB.1.5.62
XBB.1.5.63,XBB.1.5.63
XBB.1.5.66,XBB.1.5.66
XBB.1.5.67,XBB.1.5.67
XBB.1.5.72,XBB.1.5.72
XBB.1.5.76,XBB.1.5.76
XBB.1.5.86,XBB.1.5.86
XBB.1.5.89,XBB.1.5.89
XBB.1.5.92,XBB.1.5.92
XBB.1.5.96,XBB.1.5.96
XBB.1.9,XBB.1.9
XBB.1.9.1,XBB.1.9.1
XBB.1.9.4,XBB.1.9.4
XBB.2,XBB.2
XBB.2.3,XBB.2.3
XBB.2.3.11,XBB.2.3.11
XBB.2.3.13,XBB.2.3.13
XBB.2.3.14,XBB.2.3.14
XBB.2.3.4,XBB.2.3.4
XBB.2.3.6,XBB.2.3.6
XBB.2.6,XBB.2.6
XBB.2.7,XBB.2.7
XBB.3,XBB.3
XBB.8,XBB.8
XBF,XBF
XBJ,XBJ
XBJ.2,XBJ.2
XBL.3,XBL.3
XM,XM
nan,nan
